description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 Flawless Gems + 1 Magic Weapon -> Socketed Magic Weapon	1				0					4	"weap,mag,noe"	"gem3,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
1 Magic Shield + 1 Spiked Club + 2 Skulls (Any) -> Magic Shield of Spikes	1				0					4	"shld,mag,noe"	"gemz,qty=2"	spc					"usetype,mag,suf=162"	30		60																																																																																				0
4 Healing Potions (Any) + 1 Standard Ruby + 1 Magic Sword -> Sword of the Leech	1				0					6	"swor,mag,noe"	gemr	"hpot,qty=4"					"usetype,mag,suf=352"	30		60																																																																																				0
1 Diamond (Any) + 1 Kris + 1 Staff + 1 Belt -> Savage Polearm	1				0					4	kri	gemd	staf	belt				"pole,mag,pre=191"	50		60																																																																																				0
1 Strangling Gas Potion + 1 Healing Potion (Any) -> Antidote Potion	1				0					2	gpl	hpot						yps																																																																																							0
2 Arrows -> Bolts	1				0					2	"aqv,qty=2"							cqv																																																																																							0
2 Bolts -> Arrows	1				0					2	"cqv,qty=2"							aqv																																																																																							0
3 Chipped Amethysts -> Flawed Amethyst	1				0					3	"gcv,qty=3"							gfv																																																																																							0
3 Flawed Amethysts -> Standard Amethyst	1				0					3	"gfv,qty=3"							gsv																																																																																							0
3 Standard Amethysts -> Flawless Amethyst	1				0					3	"gsv,qty=3"							gzv																																																																																							0
3 Flawless Amethysts -> Perfect Amethyst	1				0					3	"gzv,qty=3"							gpv																																																																																							0
3 Chipped Rubies -> Flawed Ruby	1				0					3	"gcr,qty=3"							gfr																																																																																							0
3 Flawed Rubies -> Standard Ruby	1				0					3	"gfr,qty=3"							gsr																																																																																							0
3 Standard Rubies -> Flawless Ruby	1				0					3	"gsr,qty=3"							glr																																																																																							0
3 Flawless Rubies -> Perfect Ruby	1				0					3	"glr,qty=3"							gpr																																																																																							0
3 Chipped Sapphires -> Flawed Sapphire	1				0					3	"gcb,qty=3"							gfb																																																																																							0
3 Flawed Sapphires -> Standard Sapphire	1				0					3	"gfb,qty=3"							gsb																																																																																							0
3 Standard Sapphires -> Flawless Sapphire	1				0					3	"gsb,qty=3"							glb																																																																																							0
3 Flawless Sapphires -> Perfect Sapphire	1				0					3	"glb,qty=3"							gpb																																																																																							0
3 Chipped Topazes -> Flawed Topaz	1				0					3	"gcy,qty=3"							gfy																																																																																							0
3 Flawed Topazes -> Standard Topaz	1				0					3	"gfy,qty=3"							gsy																																																																																							0
3 Standard Topazes -> Flawless Topaz	1				0					3	"gsy,qty=3"							gly																																																																																							0
3 Flawless Topazes -> Perfect Topaz	1				0					3	"gly,qty=3"							gpy																																																																																							0
3 Chipped Emeralds -> Flawed Emerald	1				0					3	"gcg,qty=3"							gfg																																																																																							0
3 Flawed Emeralds -> Standard Emerald	1				0					3	"gfg,qty=3"							gsg																																																																																							0
3 Standard Emeralds -> Flawless Emerald	1				0					3	"gsg,qty=3"							glg																																																																																							0
3 Flawless Emeralds -> Perfect Emerald	1				0					3	"glg,qty=3"							gpg																																																																																							0
3 Chipped Diamonds -> Flawed Diamond	1				0					3	"gcw,qty=3"							gfw																																																																																							0
3 Flawed Diamonds -> Standard Diamond	1				0					3	"gfw,qty=3"							gsw																																																																																							0
3 Standard Diamonds -> Flawless Diamond	1				0					3	"gsw,qty=3"							glw																																																																																							0
3 Flawless Diamonds -> Perfect Diamond	1				0					3	"glw,qty=3"							gpw																																																																																							0
3 Chipped Skulls -> Flawed Skull	1				0					3	"skc,qty=3"							skf																																																																																							0
3 Flawed Skulls -> Standard Skull	1				0					3	"skf,qty=3"							sku																																																																																							0
3 Standard Skulls -> Flawless Skull	1				0					3	"sku,qty=3"							skl																																																																																							0
3 Flawless Skulls -> Perfect Skull	1				0					3	"skl,qty=3"							skz																																																																																							0
3 El Runes -> Eld Rune	1				100					3	"r01,qty=3"							r02																																																																																							0
3 Eld Runes -> Tir Rune	1				100					3	"r02,qty=3"							r03																																																																																							0
3 Tir Runes -> Nef Rune	1				100					3	"r03,qty=3"							r04																																																																																							0
3 Nef Runes -> Eth Rune	1				100					3	"r04,qty=3"							r05																																																																																							0
3 Eth Runes -> Ith Rune	1				100					3	"r05,qty=3"							r06																																																																																							0
3 Ith Runes -> Tal Rune	1				100					3	"r06,qty=3"							r07																																																																																							0
3 Tal Runes -> Ral Rune	1				100					3	"r07,qty=3"							r08																																																																																							0
3 Ral Runes -> Ort Rune	1				100					3	"r08,qty=3"							r09																																																																																							0
3 Ort Runes -> Thul Rune	1				100					3	"r09,qty=3"							r10																																																																																							0
3 Perfect Gems (Any) + 1 Magic Item -> Re-rolled Magic Item	1				100					4	"any,mag,noe"	"gem4,qty=3"						"usetype,mag"			100																																																																																				0
6 Perfect Skulls + 1 Rare Item -> 1 Low Quality Rare Item	1				0					7	"any,rar,noe"	"skz,qty=6"						"usetype,rar"		40	40																																																																																				0
1 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> 1 High Quality Rare Item	1				0					3	"any,rar,noe"	skz	The Stone of Jordan					"usetype,rar"		66	66																																																																																				0
3 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> Add 1 Socket to Rare Item	1				0					5	"any,rar,nos,noe"	"skz,qty=3"	The Stone of Jordan					"useitem,sock=1"																																																																																							0
1 Ethereal Magic Full Helm + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	1				100					4	"fhl,mag,upg,eth"	jew	r06	gpb				"usetype,crf,eth"		50	50	gethit-skill		42	25	5	att			75	125	balance1			20	30																																																																					0
1 Ethereal Magic Chain Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Sapphire -> Hit Power Boots	1				100					4	"mbt,mag,upg,eth"	jew	r08	gpb				"usetype,crf,eth"		50	50	gethit-skill		42	25	5	gethit-skill		46	10	10	balance1			10	20																																																																					0
1 Ethereal Magic Chain Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Sapphire -> Hit Power Gloves	1				100					4	"mgl,mag,upg,eth"	jew	r09	gpb				"usetype,crf,eth"		50	50	gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
1 Ethereal Magic Heavy Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Sapphire -> Hit Power Belt	1				100					4	"tbl,mag,upg,eth"	jew	r07	gpb				"usetype,crf,eth"		50	50	gethit-skill		42	25	5	att			75	125	dmg-to-mana			20	30																																																																					0
1 Ethereal Magic Gothic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Sapphire -> Hit Power Shield	1				100					4	"gts,mag,upg,eth"	jew	r05	gpb				"usetype,crf,eth"		50	50	gethit-skill		81	25	5	block1			20	30	block			10	20																																																																					0
1 Ethereal Magic Field Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Body	1				100					4	"fld,mag,upg,eth"	jew	r04	gpb				"usetype,crf,eth"		50	50	gethit-skill		82	10	5	str			15	20	balance1			20	40																																																																					0
1 Ethereal Magic Amulet + 1 Jewel + Thul Rune + 1 Perfect Sapphire -> Hit Power Amulet	1				100					4	"amul,mag,eth"	jew	r10	gpb				"usetype,crf,eth"		50	50	gethit-skill		8	15	15	att			75	125	slow			15	20																																																																					0
1 Ethereal Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Sapphire -> Hit Power Ring	1				100					4	"ring,mag,eth"	jew	r11	gpb				"usetype,crf,eth"		50	50	gethit-skill		87	5	1	ac-miss			100	200	all-stats			5	5																																																																					0
1 Ethereal Magic Blunt Weapon + 1 Jewel + 1 Tir Rune + 1 Perfect Sapphire -> Hit Power Weapon	1				100					4	"blun,mag,eth"	jew	r03	gpb				"usetype,crf,eth"		50	50	gethit-skill		48	25	10	ease			-30	-30	dmg%			35	60																																																																					0
1 Ethereal Magic Helm + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	1				100					4	"hlm,mag,upg,eth"	jew	r08	gpr				"usetype,crf,eth"		50	50	lifesteal			5	8	hp			20	40	deadly			5	10																																																																					0
1 Ethereal Magic Light Plated Boots + 1 Jewel + 1 Eth Rune + 1 Perfect Ruby -> Blood Boots	1				100					4	"tbt,mag,upg,eth"	jew	r05	gpr				"usetype,crf,eth"		50	50	lifesteal			5	8	hp			20	40	openwounds			5	10																																																																					0
1 Ethereal Magic Heavy Gloves + 1 Jewel + 1 Nef Rune + 1 Perfect Ruby -> Blood Gloves	1				100					4	"vgl,mag,upg,eth"	jew	r04	gpr				"usetype,crf,eth"		50	50	lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
1 Ethereal Magic Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Ruby -> Blood Belt	1				100					4	"mbl,mag,upg,eth"	jew	r07	gpr				"usetype,crf,eth"		50	50	lifesteal			5	8	hp			20	40	openwounds			5	10																																																																					0
1 Ethereal Magic Spiked Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Ruby -> Blood Shield	1				100					4	"spk,mag,upg,eth"	jew	r06	gpr				"usetype,crf,eth"		50	50	vit			20	30	crush			15	20	block			10	20																																																																					0
1 Ethereal Magic Plate Mail + 1 Jewel + 1 Thul Rune + 1 Perfect Ruby -> Blood Body	1				100					4	"plt,mag,upg,eth"	jew	r10	gpr				"usetype,crf,eth"		50	50	vit			20	30	crush			15	20	ease			-30	-30																																																																					0
1 Ethereal Magic Amulet + 1 Jewel + 1 Amn Rune + 1 Perfect Ruby -> Blood Amulet	1				100					4	"amul,mag,eth"	jew	r11	gpr				"usetype,crf,eth"		50	50	lifesteal			5	8	hp			20	40	crush			10	15																																																																					0
1 Ethereal Magic Ring + 1 Jewel + 1 Sol Rune + 1 Perfect Ruby -> Blood Ring	1				100					4	"ring,mag,eth"	jew	r12	gpr				"usetype,crf,eth"		50	50	lifesteal			3	5	hp			20	30	str			5	5																																																																					0
1 Ethereal Magic Axe + 1 Jewel + Ort Rune + 1 Perfect Ruby -> Blood Weapon	1				100					4	"axe,mag,eth"	jew	r09	gpr				"usetype,crf,eth"		50	50	lifesteal			10	12	ease			-20	-20	dmg%			35	60																																																																					0
1 Ethereal Magic Sword + 1 Jewel + Ort Rune + 1 Perfect Ruby -> Blood Weapon	1				100					4	"swor,mag,eth"	jew	r09	gpr				"usetype,crf,eth"		50	50	lifesteal			10	12	ease			-20	-20	dmg%			35	60																																																																					0
1 Ethereal Magic Mask + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	1				100					4	"msk,mag,upg,eth"	jew	r04	gpv				"usetype,crf,eth"		50	50	cast1			5	10	mana			10	20	allskills			1	1																																																																					0
1 Ethereal Magic Boots + 1 Jewel + Thul Rune + 1 Perfect Amethyst -> Caster Boots	1				100					4	"lbt,mag,upg,eth"	jew	r10	gpv				"usetype,crf,eth"		50	50	regen-mana			30	50	mana			20	40	mana%			10	15																																																																					0
1 Ethereal Magic Leather Gloves + 1 Jewel + Ort Rune + 1 Perfect Amethyst -> Caster Gloves	1				100					4	"lgl,mag,upg,eth"	jew	r09	gpv				"usetype,crf,eth"		50	50	regen-mana			15	30	mana			20	40	cast1			5	5																																																																					0
1 Ethereal Magic Light Belt + 1 Jewel + Ith Rune + 1 Perfect Amethyst -> Caster Belt	1				100					4	"vbl,mag,upg,eth"	jew	r06	gpv				"usetype,crf,eth"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Ethereal Magic Small Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Amethyst -> Caster Shield	1				100					4	"sml,mag,upg,eth"	jew	r05	gpv				"usetype,crf,eth"		50	50	res-all			15	25	mana			30	60	cast1			10	20																																																																					0
1 Ethereal Magic Light Plate + 1 Jewel + 1 Tal Rune + 1 Perfect Amethyst -> Caster Body	1				100					4	"ltp,mag,upg,eth"	jew	r07	gpv				"usetype,crf,eth"		50	50	regen-mana			30	50	mana			30	60	allskills			1	1																																																																					0
1 Ethereal Magic Amulet + 1 Jewel + 1 Ral Rune + 1 Perfect Amethyst -> Caster Amulet	1				100					4	"amul,mag,eth"	jew	r08	gpv				"usetype,crf,eth"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Ethereal Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Amethyst -> Caster Ring	1				100					4	"ring,mag,eth"	jew	r11	gpv				"usetype,crf,eth"		50	50	mana-kill			3	5	mana			20	40	res-all			1	5																																																																					0
1 Ethereal Magic Rod + 1 Jewel + 1 Tir Rune + 1 Perfect Amethyst -> Caster Weapon	1				100					4	"rod,mag,eth"	jew	r03	gpv				"usetype,crf,eth,suf=175"		50	50	oskill		37	1	3	mana			60	90	cast1			5	10																																																																					0
1 Ethereal Magic Orb + 1 Jewel + 1 Tir Rune + 1 Perfect Amethyst -> Caster Weapon	1				100					4	"orb,mag,eth"	jew	r03	gpv				"usetype,crf,eth,suf=175"		50	50	oskill		37	1	3	mana			60	90	cast1			5	10																																																																					0
1 Ethereal Magic Crown + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald -> Safety Helm	1				100					4	"crn,mag,upg,eth"	jew	r06	gpg				"usetype,crf,eth"		50	50	red-dmg			6	9	red-mag			5	7	res-all			10	15																																																																					0
1 Ethereal Magic Plated Boots + 1 Jewel + 1 Ort Rune + 1 Perfect Emerald -> Safety Boots	1				100					4	"hbt,mag,upg,eth"	jew	r09	gpg				"usetype,crf,eth"		50	50	red-dmg			6	9	red-mag			5	7	res-all			5	10	ease			-30	-30																																																																0
1 Ethereal Magic Gauntlets + 1 Jewel + 1 Ral Rune + 1 Perfect Emerald -> Safety Gloves	1				100					4	"hgl,mag,upg,eth"	jew	r08	gpg				"usetype,crf,eth"		50	50	red-dmg			6	9	red-mag			5	7	res-all			5	10	ease			-30	-30																																																																0
1 Ethereal Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	1				100					4	"lbl,mag,upg,eth"	jew	r07	gpg				"usetype,crf,eth"		50	50	red-dmg			6	9	red-mag			5	7	res-all			5	10	ac			150	200																																																																0
1 Ethereal Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald -> Safety Shield	1				100					4	"kit,mag,upg,eth"	jew	r04	gpg				"usetype,crf,eth"		50	50	red-dmg%			5	10	res-all			20	30	res-mag			10	10	ease			-30	-30																																																																0
1 Ethereal Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald -> Safety Body	1				100					4	"brs,mag,upg,eth"	jew	r05	gpg				"usetype,crf,eth"		50	50	ease			-20	-20	res-all			20	30	dex			15	20	ac%			60	90																																																																0
1 Ethereal Magic Amulet + 1 Jewel + 1 Thul Rune + 1 Perfect Emerald -> Safety Amulet	1				100					4	"amul,mag,eth"	jew	r10	gpg				"usetype,crf,eth"		50	50	res-all			10	15	block1			30	30	block			20	20																																																																					0
1 Ethereal Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Emerald -> Safety Ring	1				100					4	"ring,mag,eth"	jew	r11	gpg				"usetype,crf,eth"		50	50	red-dmg			6	9	res-all			5	10	vit			5	5																																																																					0
1 Ethereal Magic Spear + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald -> Safety Weapon	1				100					4	"jave,mag,eth"	jew	r12	gpg				"usetype,crf,eth"		50	50	rep-quant		5			stack			60	120	dmg%			35	60																																																																					0
1 Not Ethereal Magic Full Helm + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	1				100					4	"fhl,mag,upg,noe"	jew	r06	gpb				"usetype,crf"		50	50	gethit-skill		42	25	5	att			75	125	balance1			20	30																																																																					0
1 Not Ethereal Magic Chain Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Sapphire -> Hit Power Boots	1				100					4	"mbt,mag,upg,noe"	jew	r08	gpb				"usetype,crf"		50	50	gethit-skill		42	25	5	gethit-skill		46	10	10	balance1			10	20																																																																					0
1 Not Ethereal Magic Chain Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Sapphire -> Hit Power Gloves	1				100					4	"mgl,mag,upg,noe"	jew	r09	gpb				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
1 Not Ethereal Magic Heavy Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Sapphire -> Hit Power Belt	1				100					4	"tbl,mag,upg,noe"	jew	r07	gpb				"usetype,crf"		50	50	gethit-skill		42	25	5	att			75	125	dmg-to-mana			20	30																																																																					0
1 Not Ethereal Magic Gothic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Sapphire -> Hit Power Shield	1				100					4	"gts,mag,upg,noe"	jew	r05	gpb				"usetype,crf"		50	50	gethit-skill		81	25	5	block1			20	30	block			10	20																																																																					0
1 Not Ethereal Magic Field Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Body	1				100					4	"fld,mag,upg,noe"	jew	r04	gpb				"usetype,crf"		50	50	gethit-skill		82	10	5	str			15	20	balance1			20	40																																																																					0
1 Not Ethereal Magic Amulet + 1 Jewel + Thul Rune + 1 Perfect Sapphire -> Hit Power Amulet	1				100					4	"amul,mag,noe"	jew	r10	gpb				"usetype,crf"		50	50	gethit-skill		8	15	15	att			75	125	slow			15	20																																																																					0
1 Not Ethereal Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Sapphire -> Hit Power Ring	1				100					4	"ring,mag,noe"	jew	r11	gpb				"usetype,crf"		50	50	gethit-skill		87	5	1	ac-miss			100	200	all-stats			5	5																																																																					0
1 Not Ethereal Magic Blunt Weapon + 1 Jewel + 1 Tir Rune + 1 Perfect Sapphire -> Hit Power Weapon	1				100					4	"blun,mag,noe"	jew	r03	gpb				"usetype,crf"		50	50	gethit-skill		48	25	10	ease			-30	-30	dmg%			35	60																																																																					0
1 Not Ethereal Magic Helm + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	1				100					4	"hlm,mag,upg,noe"	jew	r08	gpr				"usetype,crf"		50	50	lifesteal			5	8	hp			20	40	deadly			5	10																																																																					0
1 Not Ethereal Magic Light Plated Boots + 1 Jewel + 1 Eth Rune + 1 Perfect Ruby -> Blood Boots	1				100					4	"tbt,mag,upg,noe"	jew	r05	gpr				"usetype,crf"		50	50	lifesteal			5	8	hp			20	40	openwounds			5	10																																																																					0
1 Not Ethereal Magic Heavy Gloves + 1 Jewel + 1 Nef Rune + 1 Perfect Ruby -> Blood Gloves	1				100					4	"vgl,mag,upg,noe"	jew	r04	gpr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
1 Not Ethereal Magic Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Ruby -> Blood Belt	1				100					4	"mbl,mag,upg,noe"	jew	r07	gpr				"usetype,crf"		50	50	lifesteal			5	8	hp			20	40	openwounds			5	10																																																																					0
1 Not Ethereal Magic Spiked Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Ruby -> Blood Shield	1				100					4	"spk,mag,upg,noe"	jew	r06	gpr				"usetype,crf"		50	50	vit			20	30	crush			15	20	block			10	20																																																																					0
1 Not Ethereal Magic Plate Mail + 1 Jewel + 1 Thul Rune + 1 Perfect Ruby -> Blood Body	1				100					4	"plt,mag,upg,noe"	jew	r10	gpr				"usetype,crf"		50	50	vit			20	30	crush			15	20	ease			-30	-30																																																																					0
1 Not Ethereal Magic Amulet + 1 Jewel + 1 Amn Rune + 1 Perfect Ruby -> Blood Amulet	1				100					4	"amul,mag,noe"	jew	r11	gpr				"usetype,crf"		50	50	lifesteal			5	8	hp			20	40	crush			10	15																																																																					0
1 Not Ethereal Magic Ring + 1 Jewel + 1 Sol Rune + 1 Perfect Ruby -> Blood Ring	1				100					4	"ring,mag,noe"	jew	r12	gpr				"usetype,crf"		50	50	lifesteal			3	5	hp			20	30	str			5	5																																																																					0
1 Not Ethereal Magic Axe + 1 Jewel + Ort Rune + 1 Perfect Ruby -> Blood Weapon	1				100					4	"axe,mag,noe"	jew	r09	gpr				"usetype,crf"		50	50	lifesteal			10	12	ease			-20	-20	dmg%			35	60																																																																					0
1 Not Ethereal Magic Sword + 1 Jewel + Ort Rune + 1 Perfect Ruby -> Blood Weapon	1				100					4	"swor,mag,noe"	jew	r09	gpr				"usetype,crf"		50	50	lifesteal			10	12	ease			-20	-20	dmg%			35	60																																																																					0
1 Not Ethereal Magic Mask + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	1				100					4	"msk,mag,upg,noe"	jew	r04	gpv				"usetype,crf"		50	50	cast1			5	10	mana			10	20	allskills			1	1																																																																					0
1 Not Ethereal Magic Boots + 1 Jewel + Thul Rune + 1 Perfect Amethyst -> Caster Boots	1				100					4	"lbt,mag,upg,noe"	jew	r10	gpv				"usetype,crf"		50	50	regen-mana			30	50	mana			20	40	mana%			10	15																																																																					0
1 Not Ethereal Magic Leather Gloves + 1 Jewel + Ort Rune + 1 Perfect Amethyst -> Caster Gloves	1				100					4	"lgl,mag,upg,noe"	jew	r09	gpv				"usetype,crf"		50	50	regen-mana			15	30	mana			20	40	cast1			5	5																																																																					0
1 Not Ethereal Magic Light Belt + 1 Jewel + Ith Rune + 1 Perfect Amethyst -> Caster Belt	1				100					4	"vbl,mag,upg,noe"	jew	r06	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Not Ethereal Magic Small Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Amethyst -> Caster Shield	1				100					4	"sml,mag,upg,noe"	jew	r05	gpv				"usetype,crf"		50	50	res-all			15	25	mana			30	60	cast1			10	20																																																																					0
1 Not Ethereal Magic Light Plate + 1 Jewel + 1 Tal Rune + 1 Perfect Amethyst -> Caster Body	1				100					4	"ltp,mag,upg,noe"	jew	r07	gpv				"usetype,crf"		50	50	regen-mana			30	50	mana			30	60	allskills			1	1																																																																					0
1 Not Ethereal Magic Amulet + 1 Jewel + 1 Ral Rune + 1 Perfect Amethyst -> Caster Amulet	1				100					4	"amul,mag,noe"	jew	r08	gpv				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Not Ethereal Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Amethyst -> Caster Ring	1				100					4	"ring,mag,noe"	jew	r11	gpv				"usetype,crf"		50	50	mana-kill			3	5	mana			20	40	res-all			1	5																																																																					0
1 Not Ethereal Magic Rod + 1 Jewel + 1 Tir Rune + 1 Perfect Amethyst -> Caster Weapon	1				100					4	"rod,mag,noe"	jew	r03	gpv				"usetype,crf,suf=175"		50	50	oskill		37	1	3	mana			60	90	cast1			5	10																																																																					0
