index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Heaven's Brethren	Heaven's Brethren	100	dmg-ltng		1	495					regen		30	30	dmg-cold	150	255	511																	res-all		50	50	allskills		2	2	nofreeze		1	1	oskill	65	1	1	red-dmg%		24	24	oskill	63	1	1	oskill	61	1	1					0
Orphan's Call	Orphan's Call	100	hp%		10	10					mana%		30	30					ac		100	100													hp		120	120	dex		30	30	deadly		20	20	ac		600	600	res-all		40	40	mag%		80	80									0
Hwanin's Majesty	Hwanin's Majesty	100	mag%		50	50					deadly		40	40																					allskills		2	2	lifesteal		20	20	move3		30	30	res-all		30	30																	0
Sazabi's Grand Tribute	Sazabi's Grand Tribute	100	move3		40	40	res-pois-len		75	75																									res-all		30	30	lifesteal		15	15	hp%		27	27	allskills		1	1	red-dmg%		16	16													0
Bul-Kathos' Children	Bul-Kathos' Children	100																																	crush		25	25	allskills		2	2	att		200	200	ac		200	200	red-dmg%		20	20	dmg-demon		200	200	lifesteal		10	10	deadly		30	30	0
Cow King's Leathers	Cow King's Leathers	100																																	oskill	Wearcow	1	1																													0
Naj's Ancient Set	Naj's Ancient Set	100	ac		175	175	mag%/lvl	12																											allskills		1	1	regen		20	20	dex		15	15	res-all		50	50	str		20	20	mana		100	100	fireskill		2	2	hp%		12	12	0
McAuley's Folly	McAuley's Folly	100	att		150	150					att		300	300																					allskills		2	2	mag%		100	100	move3		40	40	cast1		35	35																	0
Immortal King's Stone Crusher	Immortal King's Stone Crusher	100																																	dmg-fire		211	397	dmg-ltng		7	477	dmg-cold	150	127	364	dmg-pois	150	349	349	dmg-mag		250	361													0
Warlord's Glory	Warlord's Glory	100	lifesteal		15	15					ac		150	150																					allskills		1	1	red-dmg	0	9	9	res-fire	0	15	15	mana		20	20																	0
